Wall time,Step,Value
1685126856.597729,1594,35.0
1685126857.2886584,1596,34.0
1685126857.7516234,1597,34.0
1685126858.3717465,1599,34.0
1685126858.8462899,1601,23.0
1685126859.147132,1602,34.0
1685126859.654458,1604,34.0
1685126859.8816257,1605,30.0
1685126860.820966,1609,35.0
1685126861.0903828,1610,34.0
1685126861.7004952,1612,28.0
1685126861.986005,1613,34.0
1685126862.1542044,1614,22.0
1685126862.4542046,1615,34.0
1685126863.305486,1618,29.0
1685126863.5257316,1619,24.0
1685126863.8080215,1620,35.0
1685126864.7678413,1624,35.0
1685126865.3906114,1626,35.0
1685126865.6656432,1627,35.0
1685126865.928336,1628,35.0
1685126866.377623,1630,35.0
1685126866.8770192,1632,35.0
1685126867.429614,1634,35.0
1685126867.846869,1636,25.0
1685126868.0291772,1637,23.0
1685126868.2235732,1638,26.0
1685126868.646779,1640,20.0
1685126868.8894386,1641,35.0
1685126869.1834939,1642,36.0
1685126869.477226,1643,35.0
1685126869.682058,1644,26.0
1685126869.9210277,1645,27.0
1685126870.3630629,1647,23.0
1685126870.554197,1648,26.0
1685126871.2365513,1651,35.0
1685126871.449215,1652,28.0
1685126871.7935214,1654,23.0
1685126872.0653615,1655,35.0
1685126872.7953193,1658,35.0
1685126873.0648086,1659,36.0
1685126873.3325455,1660,35.0
1685126873.5325108,1661,28.0
1685126874.1867242,1664,20.0
1685126875.077487,1668,35.0
1685126875.5148592,1670,34.0
1685126875.7433352,1671,28.0
1685126876.0113938,1672,34.0
1685126876.786433,1675,34.0
1685126876.9959044,1676,28.0
1685126877.5223825,1678,36.0
1685126878.5274677,1682,36.0
1685126878.8051293,1683,36.0
1685126879.0683975,1684,37.0
1685126879.3122537,1685,36.0
1685126879.7722137,1687,35.0
1685126880.6874547,1691,26.0
1685126880.9267776,1692,28.0
1685126881.3691013,1694,25.0
1685126881.556851,1695,26.0
1685126881.8139536,1696,35.0
1685126882.1149683,1697,35.0
1685126882.60137,1699,26.0
1685126883.3033571,1702,27.0
1685126883.6975977,1703,36.0
1685126883.9835134,1704,36.0
1685126884.255642,1705,27.0
1685126884.4715595,1706,23.0
1685126885.3835597,1709,36.0
1685126885.6673636,1710,36.0
1685126887.0609307,1715,38.0
